Title,Body (HTML),Handle,Image,Rules,Products,Disjunctive,Sort Order,Template Suffix,Published,SEO Title,SEO Description
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,,false,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
