Title,Body (HTML),Handle,Image,Rules,Products,Disjunctive,Sort Order,Template Suffix,Published,SEO Title,SEO Description
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
yash,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,gold-bird-necklace,false,alpha-asc,,,,
hardik,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,antique-drawers,false,alpha-asc,,,,
rahul,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,bedside-table,false,alpha-asc,,,,
heyy,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,biodegradable-cardboard-pots,false,alpha-asc,,,,
fjkbvjb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,black-bean-bag,false,alpha-asc,,,,
,,,,,black-leather-bag,,,,,,
,,,,,blue-silk-tuxedo,,,,,,
,,,,,brown-throw-pillows,,,,,,
,,,,,mc-order-fee,,,,,,
,,,,,chequered-red-shirt,,,,,,
,,,,,classic-leather-jacket,,,,,,
