Title,Body (HTML),Handle,Image,Rules,Products,Disjunctive,Sort Order,Template Suffix,Published,SEO Title,SEO Description
aa,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,gold-bird-necklace,true,best-selling,,true,sdhbsbdb,hdhsfdhvfhd
bb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,antique-drawers,true,best-selling,,true,sdhbsbdb,sdhbsbdb
cc,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,bedside-table,true,best-selling,,true,sdhbsbdb,sdhbsbdb
dd,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,biodegradable-cardboard-pots,true,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
ee,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,black-bean-bag,true,best-selling,,TRUE,sdhbsbdb,hdhsfdhvfhd
yash,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,gold-bird-necklace,true,alpha-asc,,true,sdhbsbdb,hdhsfdhvfhd
hardik,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,antique-drawers,true,alpha-asc,,true,sdhbsbdb,hdhsfdhvfhd
rahul,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,bedside-table,true,alpha-asc,,true,sdhbsbdb,hdhsfdhvfhd
heyy,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,biodegradable-cardboard-pots,true,alpha-asc,,TRUE,sdhbsbdb,hdhsfdhvfhd
fjkbvjb,View <b>every</b> shoe available in our store.,,https://www.w3schools.com/html/pic_trulli.jpg,,black-bean-bag,true,alpha-asc,,TRUE,sdhbsbdb,hdhsfdhvfhd
