Title,Body (HTML),Handle,Image,Rules,Products,Disjunctive,Sort Order,Template Suffix,Published,SEO Title,SEO Description
aa,,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
bb,,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
cc,,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
dd,,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
ee,,,https://www.w3schools.com/html/pic_trulli.jpg,"variant_price less_than 100,variant_price less_than 10000",,false,best-selling,,,,
yash,,,https://www.w3schools.com/html/pic_trulli.jpg,,gold-bird-necklace,false,alpha-asc,,,,
hardik,,,https://www.w3schools.com/html/pic_trulli.jpg,,antique-drawers,false,alpha-asc,,,,
rahul,,,https://www.w3schools.com/html/pic_trulli.jpg,,bedside-table,false,alpha-asc,,,,
heyy,,,https://www.w3schools.com/html/pic_trulli.jpg,,biodegradable-cardboard-pots,false,alpha-asc,,,,
fjkbvjb,,,https://www.w3schools.com/html/pic_trulli.jpg,,black-bean-bag,false,alpha-asc,,,,
,,,,,black-leather-bag,,,,,,
,,,,,blue-silk-tuxedo,,,,,,
,,,,,brown-throw-pillows,,,,,,
,,,,,mc-order-fee,,,,,,
,,,,,chequered-red-shirt,,,,,,
,,,,,classic-leather-jacket,,,,,,
